DATE,QMXR628BIS
2005-01-01,90.9971
2005-04-01,93.6178
2005-07-01,94.9561
2005-10-01,93.5916
2006-01-01,94.3061
2006-04-01,96.7634
2006-07-01,97.3767
2006-10-01,96.1317
2007-01-01,97.3447
2007-04-01,100.2313
2007-07-01,101.27
2007-10-01,99.5035
2008-01-01,99.5793
2008-04-01,101.52
2008-07-01,102.6049
2008-10-01,101.3082
2009-01-01,101.2684
2009-04-01,101.8548
2009-07-01,101.4754
2009-10-01,100.1913
2010-01-01,98.8179
2010-04-01,99.9587
2010-07-01,100.8718
2010-10-01,100.3425
2011-01-01,100.8657
2011-04-01,102.7014
2011-07-01,103.3862
2011-10-01,102.2768
2012-01-01,101.0428
2012-04-01,101.9097
2012-07-01,101.6888
2012-10-01,100.9679
2013-01-01,101.1349
2013-04-01,102.533
2013-07-01,103.9157
2013-10-01,103.1217
2014-01-01,102.6296
2014-04-01,103.1446
2014-07-01,103.1213
2014-10-01,102.785
2015-01-01,103.875
2015-04-01,107.8755
2015-07-01,110.8657
2015-10-01,110.7715
2016-01-01,110.8209
2016-04-01,113.3785
2016-07-01,114.4312
2016-10-01,113.5879
2017-01-01,113.3391
2017-04-01,114.8572
2017-07-01,115.9527
2017-10-01,115.6889
2018-01-01,116.6998
2018-04-01,119.3621
2018-07-01,120.5239
2018-10-01,120.655
2019-01-01,122.2262
2019-04-01,125.0465
2019-07-01,126.5091
2019-10-01,126.1846
2020-01-01,126.5326
2020-04-01,128.69
2020-07-01,127.8991
2020-10-01,128.4474
2021-01-01,129.6716
2021-04-01,127.8719
2021-07-01,131.3621
